Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
300,1228800,22.037382,1.0360,0.6036,0.5498,2472.43,0.0
301,1232896,21.859473,0.2317,0.5280,0.5283,2162.84,8.125
302,1236992,22.014241,0.8129,0.5091,0.5392,2085.44,5.5
303,1241088,21.907326,0.5675,0.4587,0.5415,1879.01,5.375
304,1245184,21.865495,0.4927,0.5288,0.5265,2166.09,5.375
305,1249280,21.813001,0.7017,0.5126,0.5505,2099.65,5.5
306,1253376,21.770210,0.3590,0.4853,0.5005,1987.66,8.125
307,1257472,21.877344,0.2961,0.3437,0.5120,1407.99,5.5
308,1261568,22.032346,0.7077,0.4336,0.5393,1776.04,5.375
309,1265664,22.111416,0.7046,0.4866,0.5444,1993.21,2.625
310,1269760,22.130260,0.4366,0.4342,0.5465,1778.36,8.125
311,1273856,21.720259,0.8049,0.4375,0.5198,1791.84,5.375
312,1277952,21.803056,0.8859,0.4421,0.4997,1810.72,5.5
313,1282048,21.680242,0.9443,0.3598,0.5410,1473.94,0.0
314,1286144,21.650009,0.4394,0.4722,0.5416,1934.11,5.375
315,1290240,21.992794,1.0300,0.3693,0.5182,1512.53,5.375
316,1294336,21.750380,0.5420,0.5750,0.5632,2355.07,0.0
317,1298432,21.784714,0.9733,0.5465,0.5485,2238.55,2.75
318,1302528,21.285409,0.4773,0.4569,0.5445,1871.38,5.375
319,1306624,21.210078,0.5061,0.5268,0.5412,2157.76,2.75
320,1310720,21.098431,0.6075,0.4481,0.5088,1835.57,4.5
321,1314816,21.338786,0.2728,0.3085,0.5024,1263.68,6.5
322,1318912,21.405365,0.4098,0.3528,0.4798,1445.01,5.375
323,1323008,21.579014,0.4347,0.4254,0.5351,1742.50,2.625
324,1327104,21.568810,0.4799,0.4805,0.5001,1967.97,10.75
325,1331200,21.672615,0.4380,0.4348,0.5358,1780.94,0.0
326,1335296,21.858602,0.6254,0.4180,0.5267,1712.15,10.875
327,1339392,22.142060,0.2871,0.4737,0.5158,1940.26,10.875
328,1343488,20.993466,0.9013,0.4621,0.5496,1892.88,0.0
329,1347584,20.526502,0.4414,0.5443,0.5293,2229.40,2.75
330,1351680,19.441737,0.4554,0.3350,0.4497,1372.24,13.375
331,1355776,19.931597,0.9343,0.3944,0.5418,1615.60,2.75
332,1359872,20.132156,1.0452,0.4976,0.5735,2038.33,0.0
333,1363968,19.719476,0.4792,0.5490,0.5314,2248.57,0.0
334,1368064,19.329966,0.5378,0.3947,0.5304,1616.56,2.75
335,1372160,19.714329,0.5690,0.3749,0.5642,1535.52,2.75
336,1376256,20.280812,0.3847,0.4329,0.5119,1773.28,5.5
337,1380352,20.873865,0.2384,0.3305,0.4705,1353.74,8.25
338,1384448,21.288665,0.5304,0.4182,0.5441,1713.06,2.75
339,1388544,20.043335,0.5512,0.4145,0.5030,1697.82,5.375
340,1392640,19.451632,0.3648,0.3318,0.4665,1359.06,5.375
341,1396736,20.080627,0.3611,0.3214,0.5054,1316.39,5.375
342,1400832,19.767711,0.4814,0.4675,0.5219,1914.82,7.5
343,1404928,20.472675,0.8016,0.4626,0.5246,1894.97,0.625
344,1409024,19.788656,0.5988,0.3802,0.5126,1557.31,8.125
345,1413120,19.787968,0.4496,0.3885,0.4945,1591.44,5.5
346,1417216,19.850390,0.5057,0.3716,0.5067,1522.21,2.625
347,1421312,19.791433,0.4254,0.4649,0.5025,1904.23,10.75
348,1425408,19.586576,0.5831,0.3582,0.5087,1467.20,2.875
349,1429504,21.057992,0.3061,0.4215,0.4958,1726.49,5.25
350,1433600,20.353416,0.3405,0.4144,0.5167,1697.45,8.25
351,1437696,19.878071,0.9720,0.4874,0.5584,1996.34,2.625
352,1441792,19.598837,0.4619,0.4382,0.5087,1794.76,10.75
353,1445888,19.329673,0.8733,0.4991,0.5300,2044.33,5.25
354,1449984,19.857364,0.4260,0.4486,0.5153,1837.59,10.875
355,1454080,19.515072,0.4248,0.4435,0.5375,1816.52,8.0
356,1458176,21.051887,0.4676,0.3592,0.5149,1471.12,2.625
357,1462272,21.189225,0.7355,0.5531,0.5601,2265.66,2.625
358,1466368,20.325203,0.7344,0.4943,0.5163,2024.85,8.125
359,1470464,21.391454,0.6516,0.4962,0.5672,2032.33,0.0
360,1474560,20.950869,0.5793,0.5246,0.5380,2148.56,8.125
361,1478656,19.735202,0.5970,0.4457,0.5277,1825.51,2.625
362,1482752,20.881291,0.7231,0.3090,0.4523,1265.46,11.0
363,1486848,21.012976,0.5202,0.3528,0.5205,1444.97,5.5
364,1490944,20.426152,0.1910,0.3738,0.4802,1531.18,8.25
365,1495040,20.847725,0.5272,0.4368,0.5272,1789.14,2.75
366,1499136,19.302465,0.7634,0.4693,0.5539,1922.12,2.75
367,1503232,19.372277,0.4639,0.4140,0.5013,1695.80,5.5
368,1507328,19.550135,0.6513,0.3666,0.5193,1501.59,2.625
369,1511424,19.594462,0.4096,0.3910,0.4993,1601.65,10.0
370,1515520,19.879086,0.5181,0.3423,0.5478,1402.19,0.625
371,1519616,20.675611,0.7700,0.4613,0.5207,1889.69,2.75
372,1523712,20.200774,0.4885,0.4324,0.5146,1771.17,8.25
373,1527808,19.657359,0.6040,0.3811,0.5019,1561.09,5.375
374,1531904,19.534987,0.4726,0.4079,0.5226,1670.89,5.25
375,1536000,21.185039,0.7141,0.5311,0.5706,2175.45,0.0
376,1540096,20.762714,0.5039,0.4828,0.4933,1977.55,13.5
377,1544192,20.010520,0.7382,0.4772,0.5420,1954.78,2.75
378,1548288,19.726172,0.7462,0.5394,0.5398,2209.43,2.625
379,1552384,19.634107,0.3309,0.5244,0.5326,2147.81,5.5
380,1556480,20.373609,0.9016,0.4126,0.5185,1690.10,5.25
381,1560576,20.229795,0.3384,0.3514,0.4941,1439.25,8.125
382,1564672,20.822367,0.2679,0.4268,0.5039,1748.27,5.25
383,1568768,19.451689,0.7889,0.3881,0.5377,1589.76,2.75
384,1572864,20.194430,0.3529,0.4962,0.5194,2032.51,5.25
385,1576960,20.534484,1.1537,0.4612,0.5297,1888.90,8.0
386,1581056,21.543968,0.6883,0.3304,0.4837,1353.22,8.125
387,1585152,21.773605,0.5195,0.4777,0.5318,1956.76,5.25
388,1589248,20.014324,0.9083,0.3825,0.4925,1566.89,10.75
389,1593344,19.556610,0.6067,0.4766,0.5281,1951.97,0.0
390,1597440,19.507820,0.7551,0.4151,0.5219,1700.12,11.0
391,1601536,19.996756,0.4300,0.4499,0.5342,1842.64,2.75
392,1605632,19.990574,0.4949,0.4948,0.5387,2026.62,5.5
393,1609728,19.659596,0.6023,0.4221,0.5062,1728.99,5.5
394,1613824,19.633700,0.2238,0.3406,0.4692,1394.90,13.375
395,1617920,20.651001,0.3198,0.3952,0.5160,1618.61,5.375
396,1622016,19.814267,1.0001,0.4461,0.5394,1827.41,0.0
397,1626112,19.835902,0.3546,0.4138,0.5273,1694.91,7.875
398,1630208,20.169164,0.4614,0.4707,0.5507,1927.81,3.0
399,1634304,19.806766,0.6632,0.5520,0.5332,2261.11,2.75
400,1638400,19.688050,0.5603,0.4630,0.5415,1896.60,8.125
401,1642496,19.962374,0.7235,0.5324,0.5270,2180.71,5.5
402,1646592,19.913971,0.6007,0.4987,0.5423,2042.62,8.25
403,1650688,20.283682,0.5582,0.5163,0.5358,2114.92,5.375
