Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
4,1163,0.1943979263305664,9429916,466.0,1696,-30.828116595745087,1,0,1
4,1164,0.09191274642944336,9431882,128.0,383,-7.338427364826202,1,0,1
3,1204,0.03705930709838867,9432481,429.0,911,-16.121889621019363,1,0,1
1,245,0.06640386581420898,9432746,287.0,9817,-176.04399836063385,1,0,1
2,231,0.06949520111083984,9434247,299.0,9818,-175.75741609930992,1,0,1
3,1205,0.1185920238494873,9434406,128.0,383,-6.954553186893463,1,0,1
4,1165,0.12607288360595703,9436490,440.0,927,-16.492034167051315,1,0,1
4,1166,0.07061767578125,9438367,120.0,375,-6.56696218252182,1,0,1
3,1206,0.022418975830078125,9442225,499.0,1555,-27.8485761359334,1,0,1
4,1167,0.05023050308227539,9445497,451.0,1417,-25.20840495824814,1,0,1
3,1207,0.0473787784576416,9450962,638.0,1713,-30.588958084583282,1,0,1
3,1208,0.017385005950927734,9454598,359.0,703,-12.519610706716776,1,0,1
3,1209,0.06724834442138672,9458477,348.0,771,-13.893606185913086,1,0,1
1,246,0.03638029098510742,9463320,303.0,6159,-110.53661012649536,1,0,1
0,246,0.07967972755432129,9463615,292.0,9822,-176.9449662566185,1,0,1
3,1210,0.2096412181854248,9468169,507.0,1949,-35.03481960296631,1,0,1
4,1168,0.10044431686401367,9469154,880.0,4735,-84.26128071546555,1,0,1
3,1211,0.20888376235961914,9469903,96.0,349,-6.650898814201355,1,0,1
4,1169,0.05064988136291504,9475220,638.0,1215,-21.936048299074173,1,0,1
3,1212,0.0896601676940918,9477031,677.0,1430,-25.676096737384796,1,0,1
3,1213,0.21152043342590332,9479047,144.0,399,-7.219109773635864,1,0,1
3,1214,0.06561136245727539,9480952,116.0,371,-6.876953691244125,1,0,1
2,232,0.05979728698730469,9482906,232.0,9820,-176.0143987238407,1,0,1
4,1170,0.011609315872192383,9485264,444.0,2002,-35.33353719487786,1,0,1
4,1171,0.024970054626464844,9487062,104.0,357,-6.619768887758255,1,0,1
4,1172,0.04776644706726074,9493087,639.0,1209,-21.00752191245556,1,0,1
3,1215,0.09703516960144043,9497286,391.0,3233,-57.89981931447983,1,0,1
4,1173,0.019622087478637695,9498076,456.0,1005,-17.820673435926437,1,0,1
3,1216,0.06301379203796387,9507186,602.0,1971,-35.44587028026581,1,0,1
1,247,0.05634188652038574,9512594,304.0,9819,-176.06819155812263,1,0,1
0,247,0.06833148002624512,9512840,392.0,9820,-176.59352630376816,1,0,1
3,1217,0.18437719345092773,9527646,647.0,4092,-73.29537355899811,1,0,1
2,233,0.045320987701416016,9531746,356.0,9815,-175.00225871801376,1,0,1
3,1218,0.08317279815673828,9532538,358.0,975,-17.46273970603943,1,0,1
3,1219,0.04057002067565918,9535781,324.0,661,-12.298812732100487,1,0,1
4,1174,0.11298274993896484,9537132,472.0,7835,-140.20422369241714,1,0,1
3,1220,0.016638517379760742,9542914,639.0,1403,-25.055449172854424,1,0,1
3,1221,0.03309226036071777,9547955,461.0,1009,-17.99060310423374,1,0,1
3,1222,0.20740628242492676,9556092,792.0,1598,-28.281382858753204,1,0,1
3,1223,0.12425899505615234,9560782,446.0,940,-17.020485520362854,1,0,1
1,248,0.07082223892211914,9561696,402.0,9824,-175.79168075323105,1,0,1
0,248,0.06865644454956055,9562184,388.0,9825,-177.37261232733727,1,0,1
1,249,0.0345158576965332,9563805,145.0,411,-7.734434098005295,1,0,1
1,250,0.08257007598876953,9565886,117.0,379,-7.037192761898041,1,0,1
3,1224,0.03320670127868652,9569243,841.0,1710,-30.343404293060303,1,0,1
3,1225,0.0102691650390625,9573396,386.0,801,-14.66169753856957,1,0,1
2,234,0.05015921592712402,9580493,270.0,9816,-176.21560952067375,1,0,1
2,235,0.15819501876831055,9582587,126.0,389,-7.281465291976929,1,0,1
3,1226,0.08198380470275879,9584034,855.0,2129,-37.21672558784485,1,0,1
4,1175,0.05913591384887695,9585918,365.0,9820,-175.38245216012,1,0,1
3,1227,0.20035696029663086,9586053,144.0,399,-7.009522259235382,1,0,1
3,1228,0.07957315444946289,9596406,846.0,2072,-37.25722512602806,1,0,1
4,1176,0.2095339298248291,9604704,812.0,3797,-68.56003904342651,1,0,1
0,249,0.06678605079650879,9611558,236.0,9823,-175.7827581167221,1,0,1
1,251,0.06933951377868652,9615041,334.0,9822,-176.06553769111633,1,0,1
4,1177,0.08605122566223145,9615555,496.0,2177,-38.753975570201874,1,0,1
4,1178,0.0708613395690918,9620491,416.0,973,-17.173205345869064,1,0,1
2,236,0.06478691101074219,9631448,354.0,9822,-175.81121683120728,1,0,1
0,250,0.05462384223937988,9633148,405.0,4319,-77.60458967089653,1,0,1
4,1179,0.09966683387756348,9635391,614.0,2981,-54.035788744688034,1,0,1
3,1229,0.024415016174316406,9635783,1530.0,7907,-140.749613173306,1,0,1
4,1180,0.04802584648132324,9640218,382.0,965,-17.227361857891083,1,0,1
3,1230,0.20702528953552246,9642691,629.0,1398,-25.12984073162079,1,0,1
3,1231,0.08577442169189453,9644645,117.0,381,-6.8334366381168365,1,0,1
4,1181,0.0410618782043457,9644786,361.0,913,-16.27729842066765,1,0,1
3,1232,0.04677104949951172,9648741,384.0,813,-14.379777953028679,1,0,1
3,1233,0.10364484786987305,9655585,399.0,1337,-24.62162083387375,1,0,1
3,1234,0.09316015243530273,9659260,384.0,731,-13.080366909503937,1,0,1
1,252,0.06381082534790039,9664112,420.0,9822,-177.03051230311394,1,0,1
1,253,0.10100769996643066,9666173,128.0,385,-6.699907720088959,1,0,1
4,1182,0.037245988845825195,9676251,850.0,6312,-111.93592777848244,1,0,1
3,1235,0.16797924041748047,9679374,518.0,4039,-72.42598509788513,1,0,1
2,237,0.06238842010498047,9680271,284.0,9820,-175.9114174246788,1,0,1
4,1183,0.06455063819885254,9681257,416.0,973,-17.441424697637558,1,0,1
0,251,0.05791807174682617,9682450,363.0,9820,-175.83321115374565,1,0,1
3,1236,0.04445958137512207,9683891,445.0,915,-15.878633975982666,1,0,1
0,252,0.0930318832397461,9684438,113.0,379,-6.952983558177948,1,0,1
4,1184,0.14176607131958008,9687721,439.0,1290,-23.928508162498474,1,0,1
4,1185,0.051432132720947266,9694337,480.0,1317,-23.00726506114006,1,0,1
3,1237,0.06319522857666016,9694581,771.0,2117,-37.75705596804619,1,0,1
4,1186,0.10309553146362305,9699714,476.0,1075,-20.215676814317703,1,0,1
3,1238,0.14631247520446777,9701209,734.0,1329,-23.33796888589859,1,0,1
4,1187,0.10729312896728516,9714644,684.0,2985,-53.0025829076767,1,0,1
1,254,0.06188511848449707,9715039,391.0,9819,-176.07731726765633,1,0,1
2,238,0.07547473907470703,9729236,386.0,9826,-175.87630417943,1,0,1
0,253,0.06591057777404785,9733689,332.0,9823,-176.37763938307762,1,0,1
3,1239,0.0630948543548584,9750108,363.0,9820,-174.9152765572071,1,0,1
3,1240,0.08951377868652344,9754145,345.0,779,-13.324482858181,1,0,1
3,1241,0.04114055633544922,9756001,108.0,363,-6.676781475543976,1,0,1
3,1242,0.1270740032196045,9757912,108.0,363,-6.229789301753044,1,0,1
4,1188,0.05640840530395508,9763464,412.0,9820,-175.7824962437153,1,0,1
1,255,0.04489874839782715,9764180,391.0,9815,-176.3694320321083,1,0,1
3,1243,0.16896748542785645,9767011,820.0,1839,-34.02459132671356,1,0,1
2,239,0.05113935470581055,9778127,433.0,9816,-176.37091648578644,1,0,1
3,1244,0.008623600006103516,9778767,356.0,2351,-42.03154680132866,1,0,1
4,1189,0.09812426567077637,9778917,404.0,3079,-54.523910850286484,1,0,1
3,1245,0.13956427574157715,9780689,130.0,384,-6.909855544567108,1,0,1
4,1190,0.1383371353149414,9780893,130.0,384,-6.886814892292023,1,0,1
0,254,0.06176280975341797,9783054,401.0,9821,-176.04989230632782,1,0,1
4,1191,0.1860039234161377,9785589,388.0,943,-16.61539727449417,1,0,1
4,1192,0.21008944511413574,9787588,143.0,399,-7.173529922962189,1,0,1
3,1246,0.039308786392211914,9792424,540.0,2361,-43.51122508943081,1,0,1
4,1193,0.020122051239013672,9792868,487.0,1055,-18.472917407751083,1,0,1
4,1194,0.05066275596618652,9794669,118.0,365,-6.876034513115883,1,0,1
4,1195,0.15166544914245605,9808258,711.0,2689,-47.26790088415146,1,0,1
1,256,0.06484436988830566,9813359,280.0,9821,-177.63078600168228,1,0,1
1,257,0.0984957218170166,9815412,122.0,383,-6.814809501171112,1,0,1
4,1196,0.1913290023803711,9816657,281.0,1695,-31.13443213701248,1,0,1
4,1197,0.14063239097595215,9820898,346.0,841,-15.512795627117157,1,0,1
2,240,0.06560254096984863,9827051,349.0,9820,-176.38223645091057,1,0,1
3,1247,0.028420448303222656,9827690,722.0,7058,-125.42488526552916,1,0,1
2,241,0.12123227119445801,9829072,127.0,389,-7.073734521865845,1,0,1
4,1198,0.09243035316467285,9829276,389.0,1677,-29.16186112165451,1,0,1
0,255,0.07574248313903809,9832216,314.0,9827,-174.94191852211952,1,0,1
4,1199,0.12357878684997559,9832761,342.0,692,-12.36858743429184,1,0,1
3,1248,0.1994030475616455,9834255,395.0,1294,-22.91039913892746,1,0,1
3,1249,0.047607421875,9838812,307.0,915,-16.39714041352272,1,0,1
4,1200,0.016744613647460938,9838993,741.0,1254,-22.00922329723835,1,0,1
4,1201,0.0807485580444336,9844082,383.0,1023,-18.237344920635223,1,0,1
3,1250,0.08553838729858398,9844089,382.0,1027,-18.35376825928688,1,0,1
3,1251,0.09071874618530273,9845896,117.0,369,-6.950557082891464,1,0,1
3,1252,0.18308210372924805,9850061,385.0,843,-14.91401207447052,1,0,1
4,1202,0.12625837326049805,9855024,751.0,2188,-38.74311292171478,1,0,1
1,258,0.05451536178588867,9864596,348.0,9818,-176.88675665855408,1,0,1
3,1253,0.05944561958312988,9867327,435.0,3470,-62.532485485076904,1,0,1
3,1254,0.0995323657989502,9874646,630.0,1434,-26.019247829914093,1,0,1
2,242,0.059322357177734375,9877783,408.0,9820,-176.56572124361992,1,0,1
0,256,0.04548478126525879,9881469,292.0,9815,-176.24606984853745,1,0,1
3,1255,0.027901411056518555,9885616,382.0,2207,-39.50541287660599,1,0,1
3,1256,0.06818675994873047,9887648,121.0,372,-6.7321261167526245,1,0,1
3,1257,0.06329083442687988,9889606,119.0,372,-6.556192368268967,1,0,1
4,1203,0.03067159652709961,9898246,590.0,8709,-155.49541075527668,1,0,1
4,1204,0.0417783260345459,9900235,109.0,361,-6.520684480667114,1,0,1
4,1205,0.03693199157714844,9902177,109.0,361,-6.281988248229027,1,0,1
4,1206,0.14264774322509766,9904160,117.0,369,-6.686209201812744,1,0,1
3,1258,0.1908867359161377,9906025,538.0,3293,-59.18432432413101,1,0,1
4,1207,0.10679888725280762,9909712,633.0,1087,-18.275663137435913,1,0,1
